customer_id,customer_name,gender,age,state,city,mobile,email,business_type,income_type,net_worth_inr,demat,estimated_annual_income_inr,risk_profile,demat_account_open_date,primary_stock,stock_total_holding,avg_buy_date,avg_sell_date,avg_buy_price_inr,avg_sell_price_inr,holding_value_inr,current_estimated_value_inr,portfolio_value_inr,num_trades_last_12m,is_active_trader
CUST100010,Neha Agarwal,Male,23,Karnataka,Mysuru,9333872624,neha.agarwal23@example.com,Salaried,None/Student,712747,Upstox,37851,Low,12/24/2018,HDFC,125,7/8/2019,-,2952,-,369048,485763,369048,4,FALSE
CUST100011,Aditya Khan,Female,38,Kerala,Kozhikode,9267736026,aditya.khan40@example.com,Small Business,Salary,295753,Upstox,50301,Low,3/24/2014,SUNPHARMA,1713,3/2/2015,-,925,-,1584080,1577177,1584080,11,TRUE
CUST100012,Priya Iyer,Female,34,Madhya Pradesh,Bhopal,9309805009,priya.iyer47@example.com,Retired,Inheritance,78108,Upstox,7109,Low,4/5/2014,SUNPHARMA,1356,1/21/2023,-,1044,-,1416234,1933842,1416234,1,FALSE
CUST100013,Pooja Gupta,Male,40,Maharashtra,Nagpur,9193990916,pooja.gupta61@example.com,Small Business,Business Income,7685,Upstox,1158,Moderate,8/21/2012,INFY,1219,10/6/2015,-,1593,-,1941550,2462116,1941550,4,FALSE
CUST100014,Smita Mishra,Male,28,Manipur,Imphal,9475107991,smita.mishra92@example.com,Student,None/Student,41059,Zerodha,6106,Low,7/14/2017,MARUTI,489,12/23/2017,-,13961,-,6826949,7502651,6826949,2,FALSE
CUST100015,Karan Mishra,Male,21,Meghalaya,Shillong,9980841241,karan.mishra48@example.com,Small Business,Business Income,730115,Zerodha,52343,High,2/4/2016,AXISBANK,584,10/8/2016,-,1301,-,759790,1070629,759790,3,FALSE
CUST100016,Deepa Kumar,Male,37,Mizoram,Aizawl,9164005242,deepa.kumar16@example.com,Freelancer,Business Income,115660,Zerodha,8639,Moderate,6/28/2019,ITC,1036,6/24/2020,7/28/2025,527,511,546117,702235,529303,6,FALSE
CUST100017,Deepa Thakur,Female,33,Nagaland,Kohima,9262045053,deepa.thakur80@example.com,Small Business,None/Student,1161581,Zerodha,136103,Moderate,4/7/2013,ICICIBANK,1118,5/28/2015,-,1319,-,1474407,1595426,1474407,2,FALSE
CUST100018,Arjun Agarwal,Female,46,Odisha,Cuttack,9256342160,arjun.agarwal13@example.com,Entrepreneur,Business Income,406544,Zerodha,41170,High,4/1/2019,SBI,2000,12/21/2023,-,750,-,1499460,1527015,1499460,5,FALSE
CUST100019,Ankit Mehta,Female,46,Punjab,Amritsar,9414586850,ankit.mehta52@example.com,Freelancer,Investments,84567,Zerodha,7696,Low,3/27/2012,HINDUNILVR,457,4/7/2015,-,2482,-,1134224,1127597,1134224,5,FALSE
CUST100020,Rohit Gupta,Female,51,Rajasthan,Jodhpur,9981693406,rohit.gupta65@example.com,Salaried,Salary,28914,Upstox,2787,Low,7/8/2013,DIVISLAB,890,11/16/2018,-,3609,-,3211734,4791998,3211734,6,FALSE
CUST100021,Deepa Mehta,Male,40,Sikkim,Gangtok,9656482366,deepa.mehta49@example.com,Freelancer,Pension,1123700,Upstox,99073,Moderate,5/17/2021,MARUTI,1359,7/5/2024,12/6/2024,14367,10934,19524957,27752147,14858667,5,FALSE
CUST100022,Siddharth Nadkarni,Female,45,Tamil Nadu,Coimbatore,9577738721,siddharth.nadkarni93@example.com,Salaried,Investments,780516,Upstox,51991,Low,10/20/2016,BAJAJ_AUTO,431,10/27/2019,-,5531,-,2383904,3129804,2383904,3,FALSE
CUST100023,Kavya Chopra,Male,47,Telangana,Hyderabad,9769367632,kavya.chopra19@example.com,Retired,Business Income,1327204,Upstox,83852,Moderate,6/5/2013,LARSEN,302,4/11/2015,8/9/2020,2410,3044,727865,860591,919354,5,FALSE
CUST100024,Aarav Singh,Female,43,Tripura,Agartala,9727889579,aarav.singh25@example.com,Entrepreneur,None/Student,2062970,Upstox,375470,Moderate,2/22/2015,HCLTECH,952,7/25/2015,-,1175,-,1118876,1576359,1118876,5,FALSE
CUST100025,Pooja Thakur,Female,36,Uttar Pradesh,Noida,9873471434,pooja.thakur45@example.com,Agriculture,Business Income,485085,Upstox,83547,Low,2/24/2017,POWERGRID,922,11/27/2017,-,280,-,257828,340828,257828,6,FALSE
CUST100026,Deepa Reddy,Male,45,Uttarakhand,Dehradun,9760366909,deepa.reddy79@example.com,Professional Services,None/Student,674213,Upstox,83698,Low,9/17/2013,ICICIBANK,1447,5/26/2017,12/21/2021,1074,1061,1554382,1918647,1535267,11,TRUE
CUST100027,Aarav Agarwal,Male,26,West Bengal,Howrah,9467065627,aarav.agarwal38@example.com,Professional Services,Pension,2856335,Upstox,279837,High,12/13/2020,SUNPHARMA,1639,10/6/2021,-,1170,-,1918171,2623919,1918171,5,FALSE
CUST100028,Kavya Rao,Male,33,Andaman and Nicobar Islands,Port Blair,9653755646,kavya.rao43@example.com,Salaried,Salary,424562,Upstox,64961,Low,2/16/2011,KOTAKBANK,278,9/20/2024,-,2964,-,823948,800499,823948,2,FALSE
CUST100029,Aditya Verma,Male,19,Chandigarh,Chandigarh,9092327193,aditya.verma35@example.com,Freelancer,Business Income,253439,Upstox,16821,Low,7/19/2015,INFY,1600,4/23/2022,6/26/2022,1615,2177,2583392,3680417,3483968,3,FALSE
CUST100030,Rohit Agarwal,Male,39,Dadra and Nagar Haveli and Daman and Diu,Silvassa,9319314919,rohit.agarwal60@example.com,Small Business,Business Income,1894517,Upstox,123590,Moderate,6/2/2018,BAJAJ_AUTO,222,6/28/2021,3/29/2023,6638,6476,1473605,1439289,1437712,6,FALSE
CUST100031,Sana Rao,Male,46,Delhi,New Delhi,9657262849,sana.rao23@example.com,Small Business,Pension,952493,Upstox,67790,Moderate,12/29/2020,MARUTI,26,7/11/2024,-,15818,-,411270,593294,411270,3,FALSE
CUST100032,Deepa Verma,Male,55,Jammu and Kashmir,Jammu,9965075273,deepa.verma82@example.com,Freelancer,Business Income,902490,Upstox,138814,Low,6/3/2020,INFY,572,11/20/2024,-,1378,-,788485,813636,788485,7,FALSE
CUST100033,Rohit Chopra,Male,47,Ladakh,Leh,9377701436,rohit.chopra81@example.com,Salaried,Pension,533145,Upstox,92358,Moderate,6/25/2015,LARSEN,176,9/15/2017,-,2790,-,491126,556436,491126,4,FALSE
CUST100034,Vivek Desai,Male,18,Lakshadweep,Kavaratti,9431351823,vivek.desai49@example.com,Professional Services,None/Student,49710,Upstox,6484,Low,1/14/2013,SUNPHARMA,678,12/12/2018,-,1231,-,834930,1132239,834930,3,FALSE
CUST100035,Isha Iyer,Female,51,Puducherry,Puducherry,9240084271,isha.iyer78@example.com,Small Business,Business Income,902487,Upstox,67956,High,12/10/2017,BAJAJ_AUTO,466,1/18/2019,3/17/2019,5910,5011,2753874,2666278,2334893,10,FALSE
CUST200000,Smita Nair,Male,38,Andaman and Nicobar Islands,Port Blair,9719022941,smita.nair61@example.com,Entrepreneur,Salary,2421487,Upstox,243407,High,6/20/2011,ITC,1928,8/30/2024,-,408,-,786566,1167920,786566,3,FALSE
CUST200001,Arjun Rao,Female,32,Manipur,Imphal,9909133412,arjun.rao82@example.com,Agriculture,Inheritance,512400,Upstox,88870,Low,11/6/2016,BAJAJ_AUTO,1762,8/7/2021,-,5478,-,9653064,13026522,9653064,9,FALSE
CUST200002,Deepa Reddy,Male,31,Uttarakhand,Haridwar,9134936183,deepa.reddy68@example.com,Agriculture,Investments,619416,Upstox,78597,Moderate,11/19/2017,TCS,475,3/26/2018,-,2734,-,1298550,1371668,1298550,7,FALSE
CUST200003,Rohit Kumar,Male,51,Karnataka,Mysuru,9887719065,rohit.kumar44@example.com,Retired,Inheritance,812602,Upstox,95618,Moderate,1/11/2019,HDFC,960,9/21/2022,-,2866,-,2751322,3941440,2751322,1,FALSE
CUST200004,Aarav Reddy,Male,34,Arunachal Pradesh,Naharlagun,9967175655,aarav.reddy33@example.com,Salaried,Business Income,497249,Upstox,74021,Moderate,3/28/2016,POWERGRID,1063,4/22/2022,-,294,-,312671,289180,312671,8,FALSE
CUST200005,Siddharth Chopra,Male,31,Delhi,New Delhi,9680876038,siddharth.chopra24@example.com,Professional Services,Pension,1986774,Upstox,205054,Low,8/17/2013,TCS,932,12/27/2015,-,2059,-,1919445,1740027,1919445,3,FALSE
CUST200006,Isha Khan,Female,55,Maharashtra,Pune,9932480861,isha.khan90@example.com,Entrepreneur,Investments,2920762,Upstox,147925,Low,8/25/2010,ONGC,1804,10/31/2022,-,144,-,260570,285117,260570,2,FALSE
CUST200007,Arjun Khan,Female,33,Jharkhand,Jamshedpur,9782639821,arjun.khan41@example.com,Retired,Pension,939229,Upstox,179501,Low,8/4/2020,ITC,851,5/12/2024,-,352,-,299765,288051,299765,8,FALSE
CUST200008,Neha Chopra,Female,23,Jammu and Kashmir,Jammu,9787558867,neha.chopra29@example.com,Salaried,Investments,309302,Upstox,48433,High,12/25/2020,BAJAJ_AUTO,1716,8/1/2021,-,5196,-,8917091,12412186,8917091,2,FALSE
CUST200009,Karan Joshi,Female,41,Manipur,Imphal,9270289517,karan.joshi94@example.com,Salaried,Investments,151830,Upstox,29410,Low,8/29/2018,POWERGRID,1445,3/30/2025,-,323,-,467270,528346,467270,6,FALSE
CUST200010,Ananya Sharma,Female,53,Uttarakhand,Dehradun,9865780913,ananya.sharma52@example.com,Small Business,Inheritance,734826,Upstox,130436,Moderate,10/20/2011,ITC,694,12/27/2021,-,516,-,358375,455767,358375,7,FALSE
CUST200011,Vivek Joshi,Female,50,West Bengal,Kolkata,9045562386,vivek.joshi51@example.com,Small Business,Inheritance,1608043,Upstox,170599,Moderate,7/8/2010,SBI,1422,5/11/2018,-,688,-,978834,1364240,978834,4,FALSE
CUST200012,Siddharth Gupta,Male,47,Tripura,Agartala,9074821759,siddharth.gupta42@example.com,Agriculture,Pension,110216,Upstox,11770,Low,2/26/2015,ICICIBANK,476,3/3/2020,-,1074,-,511076,506884,511076,11,TRUE
CUST200013,Neha Iyer,Male,24,Punjab,Chandigarh,9406409097,neha.iyer47@example.com,Professional Services,Inheritance,4747188,Upstox,340050,Moderate,6/12/2016,HDFC,486,4/12/2019,-,3060,-,1487150,2207241,1487150,8,FALSE
CUST200014,Vivek Joshi,Female,33,Tamil Nadu,Chennai,9104709521,vivek.joshi90@example.com,Student,Pension,18370,Zerodha,3143,High,1/25/2013,ITC,1389,6/22/2023,-,446,-,619841,800168,619841,10,FALSE
CUST200015,Aisha Thakur,Male,39,Himachal Pradesh,Dharamshala,9171236851,aisha.thakur53@example.com,Retired,Business Income,1108663,Zerodha,158491,Moderate,8/14/2016,ITC,1872,3/31/2024,-,498,-,932312,875672,932312,6,FALSE
CUST200016,Aarav Iyer,Female,26,Chandigarh,Chandigarh,9370985931,aarav.iyer96@example.com,Retired,Pension,901983,Zerodha,79708,Moderate,6/6/2012,BHARTIARTL,1685,2/28/2022,-,1056,-,1778838,2177614,1778838,4,FALSE
CUST200017,Ananya Nair,Female,44,Haryana,Gurgaon,9758692617,ananya.nair59@example.com,Salaried,Salary,810589,Upstox,157259,Moderate,7/10/2011,BAJAJ_AUTO,1009,4/20/2016,5/1/2022,4447,5842,4487386,6383386,5894719,1,FALSE
CUST200018,Rohit Patel,Female,48,Maharashtra,Pune,9643171390,rohit.patel17@example.com,Agriculture,Business Income,139684,Upstox,23072,Low,1/17/2018,AXISBANK,204,9/9/2022,-,781,-,159404,229341,159404,8,FALSE
CUST200019,Aisha Joshi,Prefer not to say,18,Maharashtra,Mumbai,9422842102,aisha.joshi10@example.com,Student,Pension,19779,Zerodha,3607,Low,5/15/2023,LARSEN,1666,10/2/2024,12/17/2024,2799,2373,4662551,6288400,3954051,5,FALSE
CUST200020,Ankit Desai,Male,21,Kerala,Thiruvananthapuram,9589178390,ankit.desai67@example.com,Salaried,Business Income,69624,Upstox,5299,Moderate,5/5/2015,KOTAKBANK,1078,4/10/2016,-,2361,-,2545083,3775211,2545083,5,FALSE
CUST200021,Pooja Nair,Male,29,Arunachal Pradesh,Itanagar,9159212499,pooja.nair19@example.com,Agriculture,Inheritance,160243,Upstox,22256,Moderate,12/22/2014,KOTAKBANK,1406,3/18/2016,-,1727,-,2427811,2911949,2427811,3,FALSE
CUST200022,Aisha Bose,Prefer not to say,36,Ladakh,Leh,9836736576,aisha.bose93@example.com,Agriculture,Pension,428647,Upstox,85142,Low,4/14/2011,DIVISLAB,882,2/11/2016,-,5313,-,4686181,5350847,4686181,3,FALSE
CUST200023,Arjun Chopra,Male,46,Mizoram,Aizawl,9152809885,arjun.chopra65@example.com,Entrepreneur,None/Student,1069454,Upstox,109532,Moderate,1/17/2011,POWERGRID,138,1/9/2016,-,267,-,36827,38025,36827,5,FALSE
CUST200024,Neha Agarwal,Female,43,West Bengal,Durgapur,9731585149,neha.agarwal29@example.com,Salaried,Investments,655420,Upstox,72427,Low,5/21/2012,DIVISLAB,640,12/11/2018,8/20/2024,3833,4523,2453210,2881332,2894835,4,FALSE
CUST200025,Neha Rao,Non-binary,47,Puducherry,Puducherry,9022961201,neha.rao54@example.com,Retired,Salary,346189,Upstox,45200,Moderate,8/15/2017,SBI,560,11/18/2022,-,551,-,308370,436160,308370,1,FALSE
CUST200026,Karan Bose,Male,31,Sikkim,Gangtok,9229014767,karan.bose16@example.com,Freelancer,Investments,159225,Upstox,9025,Moderate,11/27/2011,MARUTI,1591,7/23/2025,-,17543,-,27910913,26031611,27910913,6,FALSE
CUST200027,Neha Iyer,Male,46,Jammu and Kashmir,Srinagar,9403690034,neha.iyer77@example.com,Freelancer,Inheritance,505965,Upstox,42438,High,11/30/2020,HDFC,581,8/9/2022,-,2339,-,1359145,1405918,1359145,7,FALSE
CUST200028,Rahul Iyer,Male,33,Haryana,Gurgaon,9851606071,rahul.iyer74@example.com,Agriculture,None/Student,143501,Upstox,14125,High,7/31/2012,KOTAKBANK,360,6/13/2016,-,2074,-,746629,1107221,746629,3,FALSE
CUST200029,Smita Thakur,Female,33,Uttarakhand,Haridwar,9516136968,smita.thakur98@example.com,Small Business,Inheritance,551379,Upstox,28335,Low,2/28/2015,RELIANCE,1979,8/23/2018,7/29/2025,2536,2462,5019140,6897506,4871427,7,FALSE
CUST200030,Vivek Chopra,Male,37,Karnataka,Bengaluru,9231243292,vivek.chopra92@example.com,Small Business,Pension,1166506,Upstox,113570,Moderate,11/16/2017,HCLTECH,398,2/27/2025,-,1063,-,423030,451398,423030,4,FALSE
CUST200031,Aditya Gupta,Female,40,Delhi,New Delhi,9527177449,aditya.gupta90@example.com,Agriculture,None/Student,73920,Upstox,9742,Low,4/1/2017,SBILIFE,1317,2/15/2022,-,1425,-,1876106,2632179,1876106,3,FALSE
CUST200032,Pooja Reddy,Male,21,Andaman and Nicobar Islands,Port Blair,9986798079,pooja.reddy88@example.com,Salaried,Investments,141875,Upstox,7504,Moderate,1/10/2012,BAJAJ_AUTO,158,3/25/2022,-,4900,-,774208,763823,774208,4,FALSE
CUST200033,Aisha Nadkarni,Male,49,Jharkhand,Ranchi,9377889255,aisha.nadkarni15@example.com,Agriculture,Salary,492909,Upstox,63967,High,12/8/2011,MARUTI,1463,12/12/2015,-,12481,-,18259688,23739104,18259688,8,FALSE
CUST200034,Priya Thakur,Female,62,Bihar,Gaya,9925192546,priya.thakur94@example.com,Small Business,Investments,743294,Upstox,126334,Low,8/27/2015,HDFC,1143,8/10/2022,-,2539,-,2902408,2959196,2902408,5,FALSE
CUST200035,Aditya Nair,Female,41,Sikkim,Gangtok,9573322141,aditya.nair37@example.com,Small Business,None/Student,489507,Upstox,35199,Moderate,1/9/2012,KOTAKBANK,1042,1/22/2019,7/11/2022,2296,3022,2392046,2915015,3148778,7,FALSE
CUST200036,Deepa Mishra,Male,38,Sikkim,Gangtok,9706537947,deepa.mishra31@example.com,Professional Services,Business Income,4514655,Upstox,876792,Low,1/5/2024,SBI,371,4/28/2024,-,734,-,272436,348488,272436,7,FALSE
CUST200037,Ankit Nair,Non-binary,35,Dadra and Nagar Haveli and Daman and Diu,Daman,9886239240,ankit.nair58@example.com,Freelancer,None/Student,869248,Upstox,97572,Moderate,9/23/2018,SBILIFE,903,3/6/2020,-,1219,-,1100775,1475227,1100775,6,FALSE
CUST200038,Sana Rao,Female,53,Ladakh,Leh,9137506068,sana.rao65@example.com,Retired,Salary,1041220,Upstox,120520,Low,8/27/2011,SBI,559,1/15/2020,-,664,-,370902,535608,370902,4,FALSE
CUST200039,Priya Reddy,Male,46,Arunachal Pradesh,Naharlagun,9277901043,priya.reddy99@example.com,Small Business,None/Student,477853,Upstox,60792,Moderate,4/20/2015,MARUTI,1621,8/21/2016,11/10/2019,14792,15908,23978367,32995941,25786236,6,FALSE
CUST200040,Deepa Nadkarni,Female,28,Haryana,Faridabad,9117980893,deepa.nadkarni68@example.com,Student,Investments,22558,Zerodha,2458,Moderate,12/26/2016,HDFC,98,9/3/2017,-,2926,-,286735,309362,286735,6,FALSE
CUST200041,Vivek Thakur,Male,39,Tamil Nadu,Chennai,9880670654,vivek.thakur74@example.com,Professional Services,Business Income,3088649,Zerodha,456677,Moderate,2/7/2016,INFY,1073,1/17/2019,12/11/2024,1823,1769,1955714,2749424,1897611,8,FALSE
CUST200042,Sana Reddy,Male,63,Gujarat,Vadodara,9772217043,sana.reddy32@example.com,Freelancer,Business Income,961976,Zerodha,73772,Low,3/17/2017,TCS,722,2/14/2021,-,2735,-,1974930,1851768,1974930,2,FALSE
CUST200043,Karan Patel,Male,36,Punjab,Ludhiana,9505415667,karan.patel46@example.com,Professional Services,Pension,481843,Zerodha,90616,High,1/27/2011,POWERGRID,519,5/30/2015,-,226,-,117050,157065,117050,6,FALSE
CUST200044,Priya Chopra,Non-binary,26,Delhi,New Delhi,9928451154,priya.chopra65@example.com,Freelancer,Pension,625481,Zerodha,112742,Low,11/20/2010,ITC,1641,12/5/2015,-,450,-,737712,877859,737712,5,FALSE
CUST200045,Kavya Thakur,Male,24,Andaman and Nicobar Islands,Port Blair,9658202970,kavya.thakur95@example.com,Agriculture,Salary,45701,Zerodha,6705,Low,11/4/2010,AXISBANK,1260,11/17/2019,7/9/2020,1024,813,1289774,1501008,1024821,5,FALSE
CUST200046,Ankit Agarwal,Male,36,Assam,Guwahati,9654310278,ankit.agarwal56@example.com,Agriculture,Investments,271288,Zerodha,45686,Low,11/16/2021,AXISBANK,910,7/23/2023,12/11/2023,972,1389,884602,1167943,1264409,4,FALSE
CUST200047,Deepa Singh,Male,26,Mizoram,Aizawl,9217271551,deepa.singh25@example.com,Student,Pension,38691,Zerodha,6047,Moderate,6/28/2014,BAJAJ_AUTO,1422,4/11/2025,-,3583,-,5094685,4770567,5094685,5,FALSE
CUST200048,Vivek Nair,Female,26,Kerala,Thiruvananthapuram,9895782911,vivek.nair56@example.com,Student,Salary,46284,Zerodha,5608,Low,4/18/2010,LARSEN,1623,7/22/2016,2/5/2022,2851,3072,4626978,6587818,4986181,1,FALSE
CUST200049,Isha Mishra,Male,45,Uttarakhand,Dehradun,9892268018,isha.mishra26@example.com,Entrepreneur,Investments,306422,Zerodha,22472,Low,11/12/2013,INFY,922,3/23/2020,-,1566,-,1444083,1524048,1444083,3,FALSE
CUST200050,Siddharth Gupta,Male,42,Manipur,Imphal,9498182992,siddharth.gupta26@example.com,Retired,Salary,1226575,Zerodha,120982,Low,2/27/2016,ITC,403,2/14/2022,-,480,-,193436,268592,193436,6,FALSE
CUST200051,Kavya Nadkarni,Male,21,Assam,Guwahati,9078447364,kavya.nadkarni89@example.com,Small Business,Salary,1582343,Zerodha,289049,Low,5/6/2019,SBILIFE,543,4/21/2022,7/6/2025,1058,1109,574445,628239,602176,6,FALSE
CUST200052,Vivaan Gupta,Male,40,Dadra and Nagar Haveli and Daman and Diu,Diu,9625881537,vivaan.gupta54@example.com,Student,Investments,18549,Zerodha,2780,Low,7/31/2013,DIVISLAB,295,7/4/2018,-,4132,-,1218993,1633954,1218993,5,FALSE
CUST200053,Ananya Joshi,Male,41,Bihar,Gaya,9532787747,ananya.joshi83@example.com,Professional Services,Pension,2461702,Zerodha,442597,Low,5/6/2017,KOTAKBANK,509,9/14/2024,-,1636,-,832541,1208518,832541,6,FALSE
CUST200054,Priya Mishra,Male,21,Meghalaya,Shillong,9748016245,priya.mishra93@example.com,Freelancer,Salary,975931,Zerodha,177305,Moderate,6/15/2019,TCS,577,7/20/2020,-,3903,-,2251748,2960539,2251748,2,FALSE
CUST200055,Sana Patel,Male,45,Puducherry,Puducherry,9499121655,sana.patel80@example.com,Freelancer,Pension,828014,Zerodha,106888,Moderate,7/28/2018,BAJAJ_AUTO,151,5/2/2019,-,5967,-,900942,937790,900942,6,FALSE
CUST200056,Sana Kumar,Male,34,Jammu and Kashmir,Jammu,9729825952,sana.kumar76@example.com,Salaried,Salary,459567,Upstox,53070,Low,8/16/2020,TCS,281,1/1/2023,-,2355,-,661626,873314,661626,5,FALSE
CUST200057,Kavya Nair,Female,43,Jammu and Kashmir,Jammu,9409749930,kavya.nair84@example.com,Retired,Inheritance,2048788,Upstox,234372,Moderate,9/3/2014,RELIANCE,755,9/18/2018,-,2195,-,1657172,2187506,1657172,3,FALSE
CUST200058,Siddharth Mishra,Female,44,Tripura,Agartala,9626368970,siddharth.mishra50@example.com,Student,Salary,2787,Zerodha,325,Moderate,11/22/2019,SBILIFE,1942,11/9/2022,12/18/2022,1299,1146,2522580,3669443,2225241,4,FALSE
CUST200059,Pooja Mehta,Female,37,Dadra and Nagar Haveli and Daman and Diu,Silvassa,9497334843,pooja.mehta55@example.com,Professional Services,Investments,4656200,Zerodha,893660,High,4/3/2022,SBI,942,3/25/2025,-,634,-,597388,629522,597388,6,FALSE
CUST200060,Vivek Nair,Female,56,Delhi,New Delhi,9198665240,vivek.nair46@example.com,Agriculture,Investments,29836,Zerodha,2164,Low,2/19/2016,SUNPHARMA,1913,6/24/2025,-,966,-,1848073,2738128,1848073,9,FALSE
CUST200061,Aditya Agarwal,Female,46,Mizoram,Aizawl,9199330833,aditya.agarwal27@example.com,Student,Business Income,22007,Zerodha,1601,Low,2/4/2016,SUNPHARMA,556,6/18/2025,-,1067,-,593252,777812,593252,7,FALSE
CUST200062,Neha Chopra,Female,35,Gujarat,Vadodara,9345401938,neha.chopra71@example.com,Entrepreneur,Salary,107739,Zerodha,11645,Moderate,5/3/2015,SUNPHARMA,1903,10/8/2016,-,1075,-,2046029,2232211,2046029,2,FALSE
CUST200063,Vivaan Gupta,Male,50,Kerala,Kochi,9049915478,vivaan.gupta14@example.com,Professional Services,Inheritance,658089,Zerodha,112061,Moderate,6/29/2016,SBI,1919,5/26/2023,-,680,-,1305649,1574428,1305649,7,FALSE
CUST200064,Rahul Mishra,Male,33,Madhya Pradesh,Indore,9493296685,rahul.mishra53@example.com,Freelancer,Business Income,741141,Zerodha,131801,Low,2/27/2010,ONGC,1328,11/19/2017,-,139,-,184831,250830,184831,11,TRUE
CUST200065,Arjun Gupta,Prefer not to say,53,Dadra and Nagar Haveli and Daman and Diu,Diu,9499045301,arjun.gupta52@example.com,Student,Salary,12157,Zerodha,2113,Low,12/29/2012,ITC,786,8/22/2017,-,422,-,331409,307701,331409,4,FALSE
CUST200066,Siddharth Bose,Female,35,Punjab,Ludhiana,9795687833,siddharth.bose29@example.com,Small Business,None/Student,266839,Zerodha,36637,Moderate,9/22/2020,BAJAJ_AUTO,753,11/22/2021,8/23/2022,4258,4198,3206447,3532658,3161049,7,FALSE
CUST200067,Kavya Reddy,Female,44,Ladakh,Leh,9982258713,kavya.reddy35@example.com,Small Business,Pension,1283551,Zerodha,229316,Moderate,5/3/2021,HDFC,127,4/17/2024,-,3232,-,410493,587895,410493,3,FALSE
CUST200068,Isha Reddy,Female,43,Andaman and Nicobar Islands,Port Blair,9406403910,isha.reddy69@example.com,Agriculture,Business Income,144282,Zerodha,11386,Low,4/7/2016,HCLTECH,851,2/15/2020,-,1111,-,945231,911356,945231,8,FALSE
CUST200069,Aditya Rao,Prefer not to say,36,Chhattisgarh,Bhilai,9676618251,aditya.rao57@example.com,Salaried,Investments,234333,Upstox,32759,Low,6/6/2019,KOTAKBANK,369,8/16/2023,6/3/2025,2409,2280,888873,1081584,841453,5,FALSE
CUST200070,Deepa Bose,Female,22,Manipur,Imphal,9337524310,deepa.bose58@example.com,Salaried,Investments,485759,Upstox,48227,Moderate,12/6/2021,ONGC,1380,1/24/2023,-,126,-,173908,216574,173908,4,FALSE
CUST200071,Neha Nadkarni,Female,46,Arunachal Pradesh,Itanagar,9306738302,neha.nadkarni16@example.com,Student,Salary,5739,Zerodha,522,Moderate,10/8/2013,HDFC,1217,5/18/2015,-,2272,-,2765085,2964699,2765085,4,FALSE
